id_municipio,municipio,populacao,pib_per_capita,educacao_ideb,seg_cvli_estado,infra_agua,infra_esgoto,saude_total_leitos,saude_estabelecimentos,area_km2,densidade_demografica,densidade_demografica_raw
3302056,Italva,14.518 (Fonte: IBGE),"R$ 28.844,61 (Fonte: IBGE)",5.2 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",70.2% (Fonte: SNIS),Indisponível,56 leitos (Fonte: CNES),24 unidades (Fonte: CNES),"295,3 km²","49,2 hab/km²",49.168557591357064
3302304,Laje do Muriaé,7.584 (Fonte: IBGE),"R$ 24.283,36 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",72.5% (Fonte: SNIS),Indisponível,30 leitos (Fonte: CNES),14 unidades (Fonte: CNES),"251,2 km²","30,2 hab/km²",30.18867924528302
3304102,Porciúncula,17.832 (Fonte: IBGE),"R$ 23.326,04 (Fonte: IBGE)",4.9 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",80.7% (Fonte: SNIS),8.0% (Fonte: SNIS),1 leitos (Fonte: CNES),58 unidades (Fonte: CNES),"303,5 km²","58,7 hab/km²",58.74678790274758
3306156,Varre-Sai,10.563 (Fonte: IBGE),"R$ 25.007,48 (Fonte: IBGE)",4.3 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",31.9% (Fonte: SNIS),Indisponível,25 leitos (Fonte: CNES),14 unidades (Fonte: CNES),"191,0 km²","55,3 hab/km²",55.29787456810805
3300605,Bom Jesus do Itabapoana,37.176 (Fonte: IBGE),"R$ 24.428,85 (Fonte: IBGE)",4.9 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",74.3% (Fonte: SNIS),Indisponível,259 leitos (Fonte: CNES),139 unidades (Fonte: CNES),"601,8 km²","61,8 hab/km²",61.77262304343491
3303104,Natividade,15.551 (Fonte: IBGE),"R$ 20.851,78 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",77.7% (Fonte: SNIS),Indisponível,53 leitos (Fonte: CNES),48 unidades (Fonte: CNES),"388,7 km²","40,0 hab/km²",40.00977668004528
3302205,Itaperuna,107.297 (Fonte: IBGE),"R$ 31.640,88 (Fonte: IBGE)",5.3 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",80.9% (Fonte: SNIS),Indisponível,463 leitos (Fonte: CNES),415 unidades (Fonte: CNES),"1.110,8 km²","96,6 hab/km²",96.58999864968268
3305133,São José de Ubá,7.318 (Fonte: IBGE),"R$ 26.901,07 (Fonte: IBGE)",5.4 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",43.8% (Fonte: SNIS),Indisponível,Indisponível,12 unidades (Fonte: CNES),"251,5 km²","29,1 hab/km²",29.09510178117048
3303005,Miracema,28.416 (Fonte: IBGE),"R$ 23.303,49 (Fonte: IBGE)",5.7 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",88.0% (Fonte: SNIS),91.0% (Fonte: SNIS),64 leitos (Fonte: CNES),51 unidades (Fonte: CNES),"306,0 km²","92,9 hab/km²",92.85667603424614
3304706,Santo Antônio de Pádua,43.697 (Fonte: IBGE),"R$ 29.398,91 (Fonte: IBGE)",5.5 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",97.2% (Fonte: SNIS),80.1% (Fonte: SNIS),186 leitos (Fonte: CNES),57 unidades (Fonte: CNES),"606,3 km²","72,1 hab/km²",72.06801576699156
3302106,Itaocara,23.645 (Fonte: IBGE),"R$ 26.893,47 (Fonte: IBGE)",5.5 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",74.3% (Fonte: SNIS),Indisponível,79 leitos (Fonte: CNES),50 unidades (Fonte: CNES),"433,4 km²","54,6 hab/km²",54.55069788902988
3300902,Cambuci,15.069 (Fonte: IBGE),"R$ 26.581,92 (Fonte: IBGE)",5.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",74.9% (Fonte: SNIS),Indisponível,51 leitos (Fonte: CNES),18 unidades (Fonte: CNES),"564,5 km²","26,7 hab/km²",26.6953656462585
3300159,Aperibé,11.426 (Fonte: IBGE),"R$ 21.803,34 (Fonte: IBGE)",5.2 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",91.6% (Fonte: SNIS),96.3% (Fonte: SNIS),35 leitos (Fonte: CNES),22 unidades (Fonte: CNES),"95,1 km²","120,1 hab/km²",120.14721345951631
3305000,São João da Barra,38.740 (Fonte: IBGE),"R$ 255.211,02 (Fonte: IBGE)",4.3 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",67.3% (Fonte: SNIS),94.0% (Fonte: SNIS),59 leitos (Fonte: CNES),65 unidades (Fonte: CNES),"457,3 km²","84,7 hab/km²",84.72018719793557
3304755,São Francisco de Itabapoana,47.397 (Fonte: IBGE),"R$ 24.991,69 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",29.9% (Fonte: SNIS),Indisponível,46 leitos (Fonte: CNES),64 unidades (Fonte: CNES),"1.128,0 km²","42,0 hab/km²",42.0186170212766
3301157,Cardoso Moreira,13.407 (Fonte: IBGE),"R$ 29.498,17 (Fonte: IBGE)",5.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",66.5% (Fonte: SNIS),Indisponível,Indisponível,16 unidades (Fonte: CNES),"527,2 km²","25,4 hab/km²",25.42961192670991
3301009,Campos dos Goytacazes,519.259 (Fonte: IBGE),"R$ 71.601,76 (Fonte: IBGE)",4.3 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",96.9% (Fonte: SNIS),85.5% (Fonte: SNIS),2038 leitos (Fonte: CNES),1169 unidades (Fonte: CNES),"4.046,4 km²","128,3 hab/km²",128.32553219883255
3304805,São Fidélis,41.212 (Fonte: IBGE),"R$ 20.508,40 (Fonte: IBGE)",4.9 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",71.7% (Fonte: SNIS),Indisponível,166 leitos (Fonte: CNES),60 unidades (Fonte: CNES),"1.036,6 km²","39,8 hab/km²",39.75574698783558
3301405,Conceição de Macabu,21.770 (Fonte: IBGE),"R$ 19.942,31 (Fonte: IBGE)",4.5 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",96.5% (Fonte: SNIS),96.5% (Fonte: SNIS),21 leitos (Fonte: CNES),41 unidades (Fonte: CNES),"348,9 km²","62,4 hab/km²",62.387161484453365
3302403,Macaé,264.439 (Fonte: IBGE),"R$ 67.111,95 (Fonte: IBGE)",5.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",91.6% (Fonte: SNIS),90.1% (Fonte: SNIS),648 leitos (Fonte: CNES),1004 unidades (Fonte: CNES),"1.222,7 km²","216,3 hab/km²",216.27463809601701
3304151,Quissamã,23.142 (Fonte: IBGE),"R$ 259.135,47 (Fonte: IBGE)",5.0 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",70.2% (Fonte: SNIS),103.8% (Fonte: SNIS),82 leitos (Fonte: CNES),23 unidades (Fonte: CNES),"716,3 km²","32,3 hab/km²",32.30679026133571
3300936,Carapebus,14.329 (Fonte: IBGE),"R$ 50.720,15 (Fonte: IBGE)",4.7 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",27.4% (Fonte: SNIS),115.3% (Fonte: SNIS),8 leitos (Fonte: CNES),21 unidades (Fonte: CNES),"309,6 km²","46,3 hab/km²",46.279310122085136
3300225,Areal,12.239 (Fonte: IBGE),"R$ 34.924,75 (Fonte: IBGE)",4.8 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",Indisponível,Indisponível,21 leitos (Fonte: CNES),29 unidades (Fonte: CNES),"111,5 km²","109,8 hab/km²",109.81606101390759
3305406,Sapucaia,18.291 (Fonte: IBGE),"R$ 54.703,13 (Fonte: IBGE)",4.6 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",75.6% (Fonte: SNIS),64.4% (Fonte: SNIS),4 leitos (Fonte: CNES),37 unidades (Fonte: CNES),"544,3 km²","33,6 hab/km²",33.60216041444685
3303708,Paraíba do Sul,44.479 (Fonte: IBGE),"R$ 28.171,32 (Fonte: IBGE)",4.7 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",87.8% (Fonte: SNIS),72.2% (Fonte: SNIS),140 leitos (Fonte: CNES),79 unidades (Fonte: CNES),"583,3 km²","76,3 hab/km²",76.25145717616402
3306008,Três Rios,82.319 (Fonte: IBGE),"R$ 77.116,74 (Fonte: IBGE)",4.6 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",99.0% (Fonte: SNIS),98.6% (Fonte: SNIS),112 leitos (Fonte: CNES),336 unidades (Fonte: CNES),"327,7 km²","251,2 hab/km²",251.19465380977084
3300951,Comendador Levy Gasparian,9.048 (Fonte: IBGE),"R$ 66.752,32 (Fonte: IBGE)",5.4 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",94.9% (Fonte: SNIS),91.2% (Fonte: SNIS),1 leitos (Fonte: CNES),24 unidades (Fonte: CNES),"107,4 km²","84,2 hab/km²",84.24581005586592
3301108,Cantagalo,19.995 (Fonte: IBGE),"R$ 42.081,57 (Fonte: IBGE)",5.2 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",71.3% (Fonte: SNIS),100.8% (Fonte: SNIS),108 leitos (Fonte: CNES),85 unidades (Fonte: CNES),"752,9 km²","26,6 hab/km²",26.555900868595106
3301504,Cordeiro,21.448 (Fonte: IBGE),"R$ 21.268,93 (Fonte: IBGE)",5.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",100.4% (Fonte: SNIS),41.3% (Fonte: SNIS),50 leitos (Fonte: CNES),60 unidades (Fonte: CNES),"116,9 km²","183,5 hab/km²",183.45736036267215
3301207,Carmo,17.741 (Fonte: IBGE),"R$ 31.630,29 (Fonte: IBGE)",5.5 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",Indisponível,Indisponível,40 leitos (Fonte: CNES),44 unidades (Fonte: CNES),"323,5 km²","54,8 hab/km²",54.83910852832988
3302452,Macuco,5.602 (Fonte: IBGE),"R$ 38.356,84 (Fonte: IBGE)",5.0 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",87.9% (Fonte: SNIS),42.8% (Fonte: SNIS),Indisponível,17 unidades (Fonte: CNES),"78,1 km²","71,7 hab/km²",71.72855313700384
3300506,Bom Jardim,29.758 (Fonte: IBGE),"R$ 29.817,33 (Fonte: IBGE)",5.0 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",56.3% (Fonte: SNIS),Indisponível,67 leitos (Fonte: CNES),54 unidades (Fonte: CNES),"386,5 km²","77,0 hab/km²",76.99552381691635
3303401,Nova Friburgo,203.417 (Fonte: IBGE),"R$ 31.093,44 (Fonte: IBGE)",5.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",82.3% (Fonte: SNIS),79.5% (Fonte: SNIS),739 leitos (Fonte: CNES),637 unidades (Fonte: CNES),"937,9 km²","216,9 hab/km²",216.88559547926218
3305703,Sumidouro,15.693 (Fonte: IBGE),"R$ 38.241,70 (Fonte: IBGE)",5.2 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",28.2% (Fonte: SNIS),38.4% (Fonte: SNIS),28 leitos (Fonte: CNES),26 unidades (Fonte: CNES),"397,4 km²","39,5 hab/km²",39.486198827466474
3301603,Duas Barras,11.355 (Fonte: IBGE),"R$ 21.948,04 (Fonte: IBGE)",5.1 (Fonte: INEP),"7,6 (Ano: 2022 - ISP/Inbound)",72.1% (Fonte: SNIS),Indisponível,30 leitos (Fonte: CNES),29 unidades (Fonte: CNES),"376,9 km²","30,1 hab/km²",30.123358535614805
